,Molecular Formula,Smiles,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Molecular Weight,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Grade
885,C32H35BrFN5O6S,CCCCC(=O)Nc1ccc(Br)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)C)cc3F)c2=O)c1,12.68,0.27,2.92,6.43,716.63,6.17,141.39,9.0,2.0,2.0,12.0,0.18,7.34,6.4,4.0,46.0,11.0,2.0,3.0,715.1475,2.0
886,C32H35BrFN5O6S,CCCCC(=O)Nc1ccc(Br)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)C)cc3F)c2=O)c1,12.68,0.27,2.92,6.43,716.63,6.17,141.39,9.0,2.0,2.0,12.0,0.18,7.34,6.4,4.0,46.0,11.0,2.0,3.0,715.1475,2.0
887,C34H37F4N5O6S,CCCCc1nn(-c2cc(NC(=O)CC)ccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,13.27,0.26,2.74,6.76,719.76,6.81,141.39,9.0,2.0,2.0,11.0,0.16,7.73,6.79,4.0,50.0,11.0,2.0,3.0,719.2401,1.0
888,C34H37F4N5O6S,CCCCc1nn(-c2cc(NC(=O)CC)ccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,13.27,0.26,2.74,6.76,719.76,6.81,141.39,9.0,2.0,2.0,11.0,0.16,7.73,6.79,4.0,50.0,11.0,2.0,3.0,719.2401,1.0
889,C34H37F4N5O6S,CCCCc1nn(-c2cc(NC(=O)CC)ccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,13.27,0.26,2.74,6.76,719.76,6.81,141.39,9.0,2.0,2.0,11.0,0.16,7.73,6.79,4.0,50.0,11.0,2.0,3.0,719.2401,1.0
890,C37H41N3O3,CCCc1cc(Cn2c(CC)nc3c(C)cc(C)nc32)cc(CCC)c1OC(C(=O)O)c1cccc(-c2ccccc2)c1,14.19,0.26,-0.27,10.57,575.75,8.44,77.24,5.0,1.0,2.0,12.0,0.16,9.19,6.46,5.0,43.0,6.0,1.0,2.0,575.3148,4.0
891,C28H30N4O2,C=CCN(c1ccc(Cn2c(CC)nc3c(C)cc(C)nc32)cc1)C(C(=O)O)c1ccccc1,18.21,0.33,2.8,11.62,454.57,5.48,71.25,5.0,1.0,1.0,9.0,0.34,5.79,3.1,4.0,34.0,6.0,1.0,1.0,454.2369,4.0
892,C28H30N4O2,C=CCN(c1ccc(Cn2c(CC)nc3c(C)cc(C)nc32)cc1)C(C(=O)O)c1ccccc1,,,,,454.57,5.48,71.25,5.0,1.0,1.0,9.0,0.34,5.79,3.1,4.0,34.0,6.0,1.0,1.0,454.2369,4.0
893,C34H39BrFN5O6S,CCCCNC(=O)c1ccc(Br)c(-n2nc(CCC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)(C)C)cc3F)c2=O)c1,12.83,0.27,3.2,6.76,744.68,6.35,141.39,9.0,2.0,2.0,12.0,0.16,7.64,6.7,4.0,48.0,11.0,2.0,3.0,743.1788,1.0
894,C34H39BrFN5O6S,CCCCNC(=O)c1ccc(Br)c(-n2nc(CCC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)(C)C)cc3F)c2=O)c1,12.83,0.27,3.2,6.76,744.68,6.35,141.39,9.0,2.0,2.0,12.0,0.16,7.64,6.7,4.0,48.0,11.0,2.0,3.0,743.1788,1.0
895,C34H39BrFN5O6S,CCCCNC(=O)c1ccc(Br)c(-n2nc(CCC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)(C)C)cc3F)c2=O)c1,12.83,0.27,3.2,6.76,744.68,6.35,141.39,9.0,2.0,2.0,12.0,0.16,7.64,6.7,4.0,48.0,11.0,2.0,3.0,743.1788,1.0
896,C27H30ClN7O5,CCCCc1nc(Cl)c(COC(=O)CCCCO[N+](=O)[O-])n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,568.03,5.2,150.95,10.0,1.0,2.0,15.0,0.09,6.42,5.15,4.0,40.0,12.0,1.0,3.0,567.1997,9.0
897,C35H43N5O6S,CCCCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCCC)nc3ccc(NC(=O)NC(C)C)cc3c2=O)cc1,14.76,0.28,3.18,6.58,661.82,6.59,148.49,8.0,3.0,2.0,14.0,0.13,7.29,6.01,4.0,47.0,11.0,3.0,3.0,661.2934,1.0
898,C32H27N7O2,CCCc1nc2ccc(NC(=O)c3ccccc3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,17.35,0.31,3.9,7.93,541.62,5.5,118.45,7.0,2.0,2.0,8.0,0.26,5.9,5.09,6.0,41.0,9.0,2.0,2.0,541.2226,2.0
899,C33H37ClFN5O6S,CCCCc1nn(-c2cc(NC(=O)CC)ccc2Cl)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,14.41,0.29,3.44,6.99,686.21,6.45,141.39,9.0,2.0,2.0,11.0,0.18,7.46,6.52,4.0,47.0,11.0,2.0,3.0,685.2137,1.0
900,C33H37ClFN5O6S,CCCCc1nn(-c2cc(NC(=O)CC)ccc2Cl)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,14.41,0.29,3.44,6.99,686.21,6.45,141.39,9.0,2.0,2.0,11.0,0.18,7.46,6.52,4.0,47.0,11.0,2.0,3.0,685.2137,1.0
901,C33H37ClFN5O6S,CCCCc1nn(-c2cc(NC(=O)CC)ccc2Cl)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,14.41,0.29,3.44,6.99,686.21,6.45,141.39,9.0,2.0,2.0,11.0,0.18,7.46,6.52,4.0,47.0,11.0,2.0,3.0,685.2137,1.0
902,C23H26N4O4S,CCCCc1nnc(SCCO)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,13.9,0.27,2.62,5.38,454.55,3.7,117.34,7.0,3.0,0.0,11.0,0.38,3.27,0.18,3.0,32.0,8.0,3.0,0.0,454.1675,8.0
903,C23H26N4O4S,CCCCc1nnc(SCCO)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,13.9,0.27,2.62,5.38,454.55,3.7,117.34,7.0,3.0,0.0,11.0,0.38,3.27,0.18,3.0,32.0,8.0,3.0,0.0,454.1675,8.0
904,C37H35F4N5O6S,CCCc1nn(-c2cc(NC(=O)c3ccccc3)ccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,12.5,0.24,2.09,6.66,753.77,7.33,141.39,9.0,2.0,2.0,10.0,0.14,8.44,7.5,5.0,53.0,11.0,2.0,3.0,753.2244,2.0
905,C37H35F4N5O6S,CCCc1nn(-c2cc(NC(=O)c3ccccc3)ccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,12.5,0.24,2.09,6.66,753.77,7.33,141.39,9.0,2.0,2.0,10.0,0.14,8.44,7.5,5.0,53.0,11.0,2.0,3.0,753.2244,2.0
906,C37H35F4N5O6S,CCCc1nn(-c2cc(NC(=O)c3ccccc3)ccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,12.5,0.24,2.09,6.66,753.77,7.33,141.39,9.0,2.0,2.0,10.0,0.14,8.44,7.5,5.0,53.0,11.0,2.0,3.0,753.2244,2.0
907,C31H33F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)C(C)(C)C)cc1,14.46,0.28,2.93,8.62,614.69,5.96,103.06,7.0,1.0,2.0,9.0,0.25,7.78,6.84,4.0,43.0,8.0,1.0,2.0,614.2175,3.0
908,C38H35N9O,CCCCc1nc2c(C)c(NC(=O)N(c3ccccc3)c3ccccc3)cnc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,14.55,0.26,0.87,7.85,633.76,8.35,117.51,7.0,2.0,2.0,10.0,0.16,9.05,7.79,7.0,48.0,10.0,2.0,2.0,633.2965,2.0
909,C38H35N9O,CCCCc1nc2c(C)c(NC(=O)N(c3ccccc3)c3ccccc3)cnc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,14.55,0.26,0.87,7.85,633.76,8.35,117.51,7.0,2.0,2.0,10.0,0.16,9.05,7.79,7.0,48.0,10.0,2.0,2.0,633.2965,2.0
910,C33H41N5O5S,CCCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCC)nc3c(C)c(NC(=O)CCCC)cnc32)cc1,15.44,0.3,2.82,7.23,619.79,6.75,132.28,8.0,2.0,2.0,14.0,0.15,6.63,6.21,4.0,44.0,10.0,2.0,2.0,619.2828,1.0
911,C34H37F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)C2CCCCCC2)cc1,14.54,0.28,2.63,9.24,654.75,6.89,103.06,7.0,1.0,2.0,10.0,0.19,8.54,7.6,4.0,46.0,8.0,1.0,2.0,654.2488,1.0
912,C34H29N7O4,Cn1nnnc1-c1ccccc1-c1ccc(Cn2cnc3ccc(N(CCCC(=O)O)C(=O)c4ccccc4)cc3c2=O)cc1,13.38,0.24,3.21,5.89,599.65,4.81,136.1,9.0,1.0,1.0,10.0,0.24,3.8,1.55,6.0,45.0,11.0,1.0,2.0,599.2281,4.0
913,C33H39N5O6S,CCCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCCC)nc3ccc(NC(=O)NCC)cc3c2=O)cc1,15.18,0.29,3.81,6.48,633.77,5.81,148.49,8.0,3.0,2.0,13.0,0.16,6.43,5.15,4.0,45.0,11.0,3.0,3.0,633.2621,1.0
914,C33H36FN5O7S,CCCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CC)nc3ccc(NC(=O)N4CCOCC4)cc3c2=O)c(F)c1,12.65,0.24,3.53,5.65,665.74,4.89,148.93,9.0,2.0,1.0,10.0,0.23,5.34,4.07,4.0,47.0,12.0,2.0,2.0,665.2319,4.0
